Nama,January,February,March,April,May,June,July,August,September,October,November,December
ac.id,3435,3457,3486,3513,3523,3576,3589,3614,3632,3625,3628,3664
biz.id,894,884,904,908,910,949,954,975,1006,1013,1036,1043
co.id,59563,60537,61316,62092,62685,63896,64598,65189,66092,66375,66916,67635
desa.id,1291,1513,1942,2169,2217,2239,2252,2255,2267,2305,2458,2972
go.id,3404,3417,3434,3450,3471,3490,3510,3520,3544,3564,3575,3589
id,9287,11087,12404,13709,14610,15328,16747,17802,18747,19232,20140,20910
mil.id,261,264,267,267,268,270,272,273,274,277,286,288
my.id,2580,6225,7352,8000,9300,9437,9502,9561,9629,9661,9714,9648
net.id,379,386,385,387,386,389,391,391,392,395,396,397
or.id,5927,5980,6030,6091,6117,6290,6344,6376,6470,6520,6535,6632
sch.id,13661,13825,14048,14287,14482,14781,14842,14918,14981,14825,14911,15005
web.id,24018,23913,23913,23749,23624,24248,24854,24188,23487,22991,23354,23769
ponpes.id,,,19,19,19,57,57,57,57,57,57,57
Reservasi,0,0,0,0,0,0,0,0,0,0,0,0
Total,124700,131488,135500,138641,141612,144950,147912,149119,150578,150840,153006,155609
