Nama,January,February,March,April,May,June,July,Agustus,September,Oktober,November,Desember
ac.id,4106,4107,4163,4192,4224,4203,4232,4254,4278,4312,4332,4359
biz.id,1641,1643,1633,1619,1612,1603,1608,1625,1682,1776,1886,1839
co.id,97993,98054,98601,98867,99230,99058,99826,100423,101148,103181,105978,103131
desa.id,2732,2728,2633,2936,3058,3146,3495,3886,4086,4261,4443,4556
go.id,3805,3805,3814,3823,3837,3847,3856,3868,3871,3882,3887,3893
id,78744,78931,83384,80848,67670,69554,72768,75281,76560,78952,81085,80687
mil.id,309,309,310,310,310,310,311,312,313,313,313,318
my.id,5296,5293,5316,5694,5631,5390,5473,5483,5455,5545,5620,5645
net.id,409,408,409,409,411,412,412,414,415,419,416,417
or.id,9654,9656,9661,9654,9696,9687,9682,9766,9794,9682,9822,9346
sch.id,19408,19408,19515,19512,19645,19455,19326,18780,18612,18242,18302,17890
web.id,23441,23429,22645,22254,21912,21570,21598,20522,20413,20449,20155,19794
ponpes.id,245,246,255,263,272,275,280,291,310,327,336,237
Reservasi Kominfo,0,0,0,0,0,0,0,0,0,0,0,0
Total,247783,248017,252339,250381,237508,238510,242867,244905,246937,251341,256575,252112
